Bank Name / Holding Co Name	Nat'l Rank	Bank ID	Bank Location	Charter	Consol Assets (Mil $)	Domestic Assets (Mil $)	Pct Domestic Assets	Pct Cumulative Assets	Domestic Branches	Foreign Branches	IBF	Pct Foreign Owned
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO	1	852218	COLUMBUS, OH	NAT	2,051,004	1,542,630	75	14	5,378	30	Y	0.00
WELLS FARGO BK NA/WELLS FARGO & CO	2	451965	SIOUX FALLS, SD	NAT	1,699,435	1,645,291	97	25	6,200	11	Y	0.00
BANK OF AMER NA/BANK OF AMER CORP	3	480228	CHARLOTTE, NC	NAT	1,657,878	1,551,334	94	37	4,729	31	Y	0.00
CITIBANK NA/CITIGROUP	4	476810	SIOUX FALLS, SD	NAT	1,365,660	824,668	60	46	742	253	Y	0.00
U S BK NA/U S BC	5	504713	CINCINNATI, OH	NAT	433,463	426,741	98	49	3,210	1	N	0.00
PNC BK NA/PNC FNCL SVC GROUP	6	817824	WILMINGTON, DE	NAT	350,224	346,323	99	51	2,687	2	N	0.00
BANK OF NY MELLON/BANK OF NY MELLON CORP	7	541101	NEW YORK, NY	SMB	298,719	194,713	65	53	3	14	Y	0.00
CAPITAL ONE NA/CAPITAL ONE FC	8	112837	MC LEAN, VA	NAT	278,661	278,594	100	55	811	0	N	0.00
T D BK NA/TD GRP US HOLDS LLC	9	497404	WILMINGTON, DE	NAT	255,727	255,727	100	57	1,273	1	N	100.00
STATE STREET B&TC/STATE STREET CORP	10	35301	BOSTON, MA	SMB	251,261	167,070	66	58	2	11	N	0.00
BRANCH BKG&TC/BB&T CORP	11	852320	WINSTON SALEM, NC	SNM	217,159	216,978	100	60	2,242	1	N	0.00
HSBC BK USA NA/HSBC N AMER HOLDS	12	413208	MC LEAN, VA	NAT	206,206	202,738	98	61	227	3	Y	100.00
SUNTRUST BK/SUNTRUST BK	13	675332	ATLANTA, GA	SMB	194,679	194,679	100	63	1,418	0	Y	0.00
GOLDMAN SACHS BK USA/GOLDMAN SACHS GROUP THE	14	2182786	NEW YORK, NY	SMB	160,666	160,666	100	64	1	1	N	0.00
CHASE BK USA NA/JPMORGAN CHASE & CO	15	489913	WILMINGTON, DE	NAT	146,939	146,939	100	65	0	0	N	0.00
FIFTH THIRD BK/FIFTH THIRD BC	16	723112	CINCINNATI, OH	SMB	141,112	140,417	100	66	1,214	1	N	0.00
MORGAN STANLEY BK NA/MORGAN STANLEY	17	1456501	SALT LAKE CITY, UT	NAT	135,608	135,608	100	67	0	0	N	0.00
REGIONS BK/REGIONS FC	18	233031	BIRMINGHAM, AL	SMB	125,256	125,256	100	67	1,596	0	N	0.00
MANUFACTURERS & TRADERS TC/M&T BK CORP	19	501105	BUFFALO, NY	SMB	123,130	123,130	100	68	843	2	Y	0.00
NORTHERN TC/NORTHERN TR CORP	20	210434	CHICAGO, IL	SMB	121,145	92,027	76	69	68	4	Y	0.00
MUFG UNION BK NA/MUFG AMERS HOLDS CORP	21	212465	SAN FRANCISCO, CA	NAT	115,975	115,632	100	70	364	1	Y	100.00
ALLY BK/ALLY FNCL	22	3284070	MIDVALE, UT	SMB	114,554	114,554	100	71	0	0	N	0.00
CITIZENS BK NA/CITIZENS FNCL GRP	23	3303298	PROVIDENCE, RI	NAT	112,992	112,992	100	71	840	1	N	0.00
BMO HARRIS BK NA/BMO FC	24	75633	CHICAGO, IL	NAT	107,492	107,492	100	72	602	0	N	100.00
CAPITAL ONE BK USA NA/CAPITAL ONE FC	25	2253891	GLEN ALLEN, VA	NAT	103,537	102,774	99	73	0	1	N	0.00
KEYBANK NA/KEYCORP	26	280110	CLEVELAND, OH	NAT	99,138	99,021	100	74	972	0	N	0.00
COMPASS BK/BBVA COMPASS BSHRS	27	697633	BIRMINGHAM, AL	SMB	86,738	86,738	100	74	673	0	N	100.00
DISCOVER BK/DISCOVER FS	28	30810	GREENWOOD, DE	SNM	86,232	86,232	100	75	0	0	N	0.00
SANTANDER BK NA/SANTANDER HOLDS USA	29	722777	WILMINGTON, DE	NAT	84,976	84,962	100	75	674	1	N	100.00
BANK OF THE WEST/BANCWEST HOLD	30	804963	SAN FRANCISCO, CA	SNM	80,463	80,463	100	76	4	0	N	10.00
HUNTINGTON NB/HUNTINGTON BSHRS	31	12311	COLUMBUS, OH	NAT	73,864	73,864	100	76	798	0	N	0.00
COMERICA BK/COMERICA	32	60143	DALLAS, TX	SMB	71,314	70,555	99	77	474	1	N	0.00
FIRST REPUBLIC BK/	33	4114567	SAN FRANCISCO, CA	SNM	64,730	64,730	100	77	72	0	N	0.00
ZB NA/ZIONS BC	34	276579	SALT LAKE CITY, UT	NAT	59,451	59,451	100	78	458	0	N	0.00
DEUTSCHE BK TC AMERICAS/DEUTSCHE BK TR CORP	35	214807	NEW YORK, NY	SMB	53,167	53,167	100	78	1	0	N	100.00
MORGAN STANLEY PRIV BK NA/MORGAN STANLEY	36	2489805	PURCHASE, NY	NAT	46,604	46,604	100	78	0	0	N	0.00
CIT BK NA/CIT GROUP	37	3918898	PASADENA, CA	NAT	43,413	43,413	100	79	69	0	N	0.00
SILICON VALLEY BK/SVB FNCL GRP	38	802866	SANTA CLARA, CA	SMB	42,538	41,332	97	79	4	1	N	0.00
CITY NB/RBC USA HOLDCO CORP	39	63069	LOS ANGELES, CA	NAT	41,979	41,979	100	79	73	0	N	100.00
FIRST NIAGARA BK NA/FIRST NIAGARA FNCL GROUP	40	517900	BUFFALO, NY	NAT	39,931	39,931	100	79	392	0	N	0.00
PEOPLES UNITED BK NA/PEOPLES UNITED FNCL INC	41	613307	BRIDGEPORT, CT	NAT	39,737	39,737	100	80	390	0	N	0.00
SIGNATURE BK/	42	2942690	NEW YORK, NY	SNM	36,547	36,547	100	80	7	0	N	0.00
EAST WEST BK/EAST WEST BC	43	197478	PASADENA, CA	SMB	32,897	31,681	96	80	118	1	N	0.00
FIRST-CITIZENS B&TC/FIRST CITIZENS BSHRS	44	491224	RALEIGH, NC	SNM	32,054	32,054	100	80	549	0	N	0.00
BOKF NA/BOK FC	45	339858	TULSA, OK	NAT	31,817	31,817	100	81	127	0	N	0.00
BARCLAYS BK DE/BARCLAYS DE HOLDS LLC	46	2980209	WILMINGTON, DE	SNM	29,673	29,673	100	81	0	0	N	100.00
SYNOVUS BK/SYNOVUS FC	47	395238	COLUMBUS, GA	SNM	29,218	29,218	100	81	252	0	N	0.00
FROST BK/CULLEN/FROST BKR	48	682563	SAN ANTONIO, TX	SMB	29,004	29,004	100	81	138	0	N	0.00
ASSOCIATED BK NA/ASSOCIATED BANC-CORP	49	917742	GREEN BAY, WI	NAT	28,942	28,942	100	81	226	0	N	0.00
FIRST TN BK NA/FIRST HORIZON NAT CORP	50	485559	MEMPHIS, TN	NAT	27,353	27,353	100	82	167	0	Y	0.00
BANKUNITED NA/BANKUNITED	51	3938186	MIAMI LAKES, FL	NAT	26,218	26,218	100	82	101	0	N	0.00
FIRSTMERIT BK NA/FIRSTMERIT CORP	52	67311	AKRON, OH	NAT	26,155	26,155	100	82	357	0	N	0.00
WEBSTER BK NA/WEBSTER FNCL CORP	53	761806	WATERBURY, CT	NAT	25,109	25,109	100	82	175	0	N	0.00
COMMERCE BK/COMMERCE BSHRS	54	601050	KANSAS CITY, MO	SMB	24,585	24,585	100	82	189	0	N	0.00
UMPQUA BK/UMPQUA HC	55	143662	ROSEBURG, OR	SNM	24,120	24,120	100	82	320	0	N	0.00
BNY MELLON NA/BANK OF NY MELLON CORP	56	934329	PITTSBURGH, PA	NAT	23,642	23,642	100	83	4	0	N	0.00
WHITNEY BK/HANCOCK HC	57	463735	GULFPORT, MS	SNM	22,977	22,977	100	83	197	0	N	0.00
BANK OF AMER CA NA/BANK OF AMER CORP	58	1443266	SAN FRANCISCO, CA	NAT	22,238	22,238	100	83	0	0	N	0.00
PROSPERITY BK/PROSPERITY BSHRS	59	664756	EL CAMPO, TX	SNM	21,782	21,782	100	83	267	0	N	0.00
VALLEY NB/VALLEY NAT BC	60	229801	PASSAIC, NJ	NAT	21,764	21,764	100	83	219	0	N	0.00
PACIFIC WESTERN BK/PACWEST BC	61	494261	BEVERLY HILLS, CA	SNM	21,085	21,085	100	83	79	0	N	0.00
TCF NB/TCF FC	62	266271	SIOUX FALLS, SD	NAT	21,079	20,668	98	84	356	0	N	0.00
TEXAS CAP BK NA/TEXAS CAP BSHRS	63	2618780	DALLAS, TX	NAT	21,068	21,068	100	84	11	0	N	0.00
FIRST NB OF PA/FNB CORP	64	379920	GREENVILLE, PA	NAT	21,028	21,028	100	84	330	0	N	0.00
IBERIABANK/IBERIABANK CORP	65	808176	LAFAYETTE, LA	SMB	20,078	20,078	100	84	198	0	N	0.00
T D BK USA NA/TD GRP US HOLDS LLC	66	2121196	WILMINGTON, DE	NAT	19,662	19,662	100	84	1	0	N	100.00
UMB BK NA/UMB FC	67	936855	KANSAS CITY, MO	NAT	19,467	19,467	100	84	113	0	N	0.00
FIRST HAWAIIAN BK/FIRST HAWAIIAN	68	980661	HONOLULU, HI	SNM	19,011	18,201	96	84	61	0	Y	10.00
FIRST NB OF OMAHA/LAURITZEN CORP	69	527954	OMAHA, NE	NAT	18,689	18,689	100	84	124	0	N	0.00
PRIVATEBANK & TC/PRIVATEBANCORP	70	1842065	CHICAGO, IL	SNM	18,155	18,155	100	85	22	0	N	0.00
WESTERN ALLI BK/WESTERN ALLI BC	71	3138146	PHOENIX, AZ	SMB	16,627	16,627	100	85	41	0	N	0.00
ARVEST BK/ARVEST BK GRP	72	311845	FAYETTEVILLE, AR	SMB	16,613	16,613	100	85	272	0	N	0.00
RAYMOND JAMES BK NA/RAYMOND JAMES FNCL	73	2193616	SAINT PETERSBURG, FL	NAT	16,610	16,514	99	85	0	0	N	0.00
FIRSTBANK/FIRSTBANK HC	74	288853	LAKEWOOD, CO	SMB	16,180	16,180	100	85	122	0	N	0.00
MB FNCL BK NA/MB FNCL	75	656733	CHICAGO, IL	NAT	15,943	15,943	100	85	93	0	N	0.00
BANK OF HAWAII/BANK OF HI CORP	76	795968	HONOLULU, HI	SMB	15,889	15,414	97	85	69	1	Y	0.00
WASHINGTON FED NA/WASHINGTON FED INC	77	656377	SEATTLE, WA	NAT	14,819	14,819	100	85	242	0	N	0.00
OLD NB/OLD NAT BC	78	208244	EVANSVILLE, IN	NAT	14,339	14,339	100	85	211	0	N	0.00
RABOBANK NA/RABOBANK INTL HOLD BV	79	877369	ROSEVILLE, CA	NAT	14,213	14,213	100	86	102	0	N	99.00
BANCORPSOUTH BK/BANCORPSOUTH	80	606046	TUPELO, MS	SNM	14,117	14,117	100	86	243	0	N	0.00
CATHAY BK/CATHAY GEN BC	81	595869	LOS ANGELES, CA	SNM	13,447	12,989	97	86	56	1	N	0.00
STERLING NB/STERLING BC	82	125471	MONTEBELLO, NY	NAT	13,046	13,046	100	86	40	0	N	0.00
TRUSTMARK NB/TRUSTMARK CORP	83	342634	JACKSON, MS	NAT	13,029	13,029	100	86	197	0	N	0.00
BANK OF THE OZARKS/BANK OF THE OZARKS	84	107244	LITTLE ROCK, AR	SNM	12,266	12,266	100	86	168	0	N	0.00
GREAT WESTERN BK/GREAT WESTERN BC	85	131650	SIOUX FALLS, SD	SNM	11,445	11,445	100	86	179	0	N	0.00
