"iWine","Type","Color","Category","Size","Value","Price","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","WindowSource","LikeVotes","LikePercent","LikeIt","PNotes","PScore","CNotes","CScore","WA","WAWeb","WS","WSWeb","WE","WEWeb","BR","BRWeb","GV","GVWeb","LF","LFWeb","JK","JKWeb","LD","LDWeb","SJ","SJWeb","WD","WDWeb","GA","GAWeb","MFW","MFWWeb","WWR","WWRWeb","TT","TTWeb"
"1864392","White","White","Dry","(n/a)","0","0","0","0","2012","Andeluna Cellars (Familia Reina) Chardonnay 1300","Argentina, Mendoza, Valle de Uco","Andeluna Cellars (Familia Reina)","Chardonnay","Chardonnay","1300","Unknown","Argentina","Mendoza","Valle de Uco","Unknown","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1918834","Red","Red","Dry","(n/a)","0","0","0","0","2013","Andrew Murray Syrah Santa Ynez Valley","USA, California, Central Coast, Santa Ynez Valley","Andrew Murray","Syrah","Syrah","Unknown","Unknown","USA","California","Central Coast","Santa Ynez Valley","9999","2017","Community Average","0","","","","","1","89","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1757389","Red","Red","Dry","(n/a)","0","0","0","0","2009","Bodegas el Angosto Valencia Single Vineyard Los Almendros","Spain, Valencia","Bodegas el Angosto","Red Blend","Red Blend","Single Vineyard","Los Almendros","Spain","Valencia","Unknown","Valencia","2014","2015","Community Average","21","0.904761904761905","","","","49","88.6818181818182","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2347061","Red","Red","Dry","(n/a)","0","0","0","0","2010","Antichi Castelli Toscani Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Antichi Castelli Toscani","Sangiovese","Sangiovese","Unknown","Unknown","Italy","Tuscany","Montalcino","Brunello di Montalcino","2016","2026","Community Average","1","1","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2332934","White","White","Dry","750ml","39","39","3","0","2011","Arcadian Chardonnay Clos Pepe Vineyard","USA, California, Central Coast, Sta. Rita Hills","Arcadian","Chardonnay","Chardonnay","Unknown","Clos Pepe Vineyard","USA","California","Central Coast","Sta. Rita Hills","2017","2023","Community Average","6","1","","","","8","92.2857142857143","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"711058","Rosé - Sparkling","Rosé","Sparkling","(n/a)","0","0","0","0","2007","Argyle Brut Rosé","USA, Oregon, Willamette Valley, Dundee Hills","Argyle","Champagne Blend","Champagne Blend","Brut Rosé","Unknown","USA","Oregon","Willamette Valley","Dundee Hills","2010","2016","Community Average","2","1","","","","58","88.9818181818182","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2109947","Red","Red","Dry","750ml","26.99","26.99","5","0","2012","Argyle Pinot Noir Artisan Series Reserve","USA, Oregon, Willamette Valley","Argyle","Pinot Noir","Pinot Noir","Artisan Series Reserve","Unknown","USA","Oregon","Willamette Valley","Willamette Valley","2014","2017","Community Average","21","1","","","","53","88.6875","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1103026","Red","Red","Dry","750ml","66.84","66.84","1","0","2008","Argyle Pinot Noir Spirithouse","USA, Oregon, Willamette Valley, Dundee Hills","Argyle","Pinot Noir","Pinot Noir","Spirithouse","Unknown","USA","Oregon","Willamette Valley","Dundee Hills","2012","2021","Community Average","6","0.833333333333333","","","","26","90.6666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2459048","White","White","Dry","(n/a)","0","0","0","0","2015","Arnot-Roberts Chardonnay Trout Gulch Vineyard","USA, California, San Francisco Bay, Santa Cruz Mountains","Arnot-Roberts","Chardonnay","Chardonnay","Unknown","Trout Gulch Vineyard","USA","California","San Francisco Bay","Santa Cruz Mountains","2017","2021","Community Average","10","1","","","","24","92.4285714285714","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2459049","White","White","Dry","(n/a)","0","0","0","0","2015","Arnot-Roberts Chardonnay Watson Ranch","USA, California, Napa Valley","Arnot-Roberts","Chardonnay","Chardonnay","Unknown","Watson Ranch","USA","California","Napa Valley","Napa Valley","2017","2022","Community Average","9","1","","","","17","90.7058823529412","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2459042","Red","Red","Dry","(n/a)","0","0","0","0","2015","Arnot-Roberts Pinot Noir Clary Ranch","USA, California, Sonoma County, Sonoma Coast","Arnot-Roberts","Pinot Noir","Pinot Noir","Unknown","Clary Ranch","USA","California","Sonoma County","Sonoma Coast","2018","2023","Community Average","5","0.8","","","","8","91.4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2459046","Red","Red","Dry","(n/a)","0","0","0","0","2015","Arnot-Roberts Pinot Noir Peter Martin Ray Vineyard","USA, California, San Francisco Bay, Santa Cruz Mountains","Arnot-Roberts","Pinot Noir","Pinot Noir","Unknown","Peter Martin Ray Vineyard","USA","California","San Francisco Bay","Santa Cruz Mountains","2017","2023","Community Average","1","1","","","","1","92","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2459036","Red","Red","Dry","(n/a)","0","0","0","0","2015","Arnot-Roberts Syrah Sonoma Coast","USA, California, Sonoma County, Sonoma Coast","Arnot-Roberts","Syrah","Syrah","Unknown","Sonoma Coast","USA","California","Sonoma County","Sonoma Coast","2019","2026","Community Average","4","1","","","","16","90.8333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2459047","Red","Red","Dry","(n/a)","0","0","0","0","2015","Arnot-Roberts Trousseau North Coast","USA, California, North Coast","Arnot-Roberts","Trousseau","Trousseau","Unknown","Unknown","USA","California","North Coast","North Coast","2016","2022","Community Average","24","1","","","","41","90.6521739130435","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2212642","Red","Red","Dry","750ml","12.49","12.49","1","0","2013","Artezin Zinfandel Mendocino County","USA, California, North Coast, Mendocino County","Artezin","Zinfandel","Zinfandel","Unknown","Unknown","USA","California","North Coast","Mendocino County","2015","2017","Community Average","14","0.857142857142857","","","","23","88","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2751288","Rosé","Rosé","Dry","750ml","15","15","0","2","2016","Azienda Collefrisio Cerasuolo d'Abruzzo","Italy, Abruzzi, Cerasuolo d'Abruzzo","Azienda Collefrisio","Montepulciano","Montepulciano","Unknown","Unknown","Italy","Abruzzi","Unknown","Cerasuolo d'Abruzzo","9999","9999","none","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
