"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
1,9/30/2016 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4206,12/22/2014 0:00:00,1000,"Other","CORNERSTONE CU LEAGUE","Program Grant"
1,9/30/2016 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4532,6/29/2015 0:00:00,750,"Other","CORNERSTONE CU LEAGUE","Program Grant"
1,9/30/2016 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4649,7/31/2015 0:00:00,7500,"Other","Small CU Initiatives Cyber Security","Program Grant"
6,9/30/2016 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",860,10/1/2009 0:00:00,27000,"National Credit Union Foundation",,"Not Collected"
6,9/30/2016 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",3551,9/4/2013 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
6,9/30/2016 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",3806,3/1/2014 0:00:00,2500,"NCUA Technical Assistance Program",,"Program Grant"
6,9/30/2016 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4134,8/1/2014 0:00:00,6000,"NCUA Technical Assistance Program",,"Program Grant"
6,9/30/2016 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4824,8/5/2015 0:00:00,20000,"National Federation of Community Development CUs",,"Program Grant"
6,9/30/2016 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4825,7/31/2015 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
13,9/30/2016 0:00:00,12,"EFCU FINANCIAL",3447,8/26/2013 0:00:00,55680,"Other","LA Incumbent Worker Training Program","Program Grant"
13,9/30/2016 0:00:00,12,"EFCU FINANCIAL",4727,7/21/2015 0:00:00,49792,"Other","Louisiana Workforce Commission – Incumbent Worker Training Program","Program Grant"
26,9/30/2016 0:00:00,19,"FARMERS",4358,1/6/2015 0:00:00,900,"Other","OSCUIP-NCUA","Program Grant"
91,9/30/2016 0:00:00,50,"MIDWEST MEMBERS",3795,3/12/2014 0:00:00,7500,"Other","NCUA - Low-Income Credit Unions","Program Grant"
108,9/30/2016 0:00:00,58,"KEMBA CHARLESTON",1,10/21/2011 0:00:00,750,"Other","VITA","Not Collected"
108,9/30/2016 0:00:00,58,"KEMBA CHARLESTON",1900,8/15/2012 0:00:00,6344,"Other","NCUA","Not Collected"
108,9/30/2016 0:00:00,58,"KEMBA CHARLESTON",3691,3/10/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
108,9/30/2016 0:00:00,58,"KEMBA CHARLESTON",3965,9/18/2014 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
108,9/30/2016 0:00:00,58,"KEMBA CHARLESTON",4572,7/1/2015 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
110,9/30/2016 0:00:00,59,"ITALO-AMERICAN",4573,7/3/2015 0:00:00,3000,"Other","NCUA","Program Grant"
174,9/30/2016 0:00:00,91,"LOUISIANA",3080,10/26/2012 0:00:00,7500,"Other","NCUA OSCUI Office Small Credit Union Initiatives","Program Grant"
174,9/30/2016 0:00:00,91,"LOUISIANA",3748,3/13/2014 0:00:00,5000,"NCUA Technical Assistance Program",,"Program Grant"
195,9/30/2016 0:00:00,104,"NORTHWEST ARKANSAS",4983,4/2/2015 0:00:00,2247,"Other","NCUA OSCUI","Program Grant"
195,9/30/2016 0:00:00,104,"NORTHWEST ARKANSAS",5147,4/15/2016 0:00:00,2000,"Other","Cornerstone Credit Union Foundation","Program Grant"
195,9/30/2016 0:00:00,104,"NORTHWEST ARKANSAS",5445,7/28/2016 0:00:00,3000,"Other","NCUA-OSCUI","Program Grant"
196,9/30/2016 0:00:00,105,"GTE",4264,9/24/2013 0:00:00,1347000,"Community Development Financial Institutions Fund",,"Subsidy for Risk or ALL"
196,9/30/2016 0:00:00,105,"GTE",5066,9/10/2015 0:00:00,1750000,"Community Development Financial Institutions Fund",,"Program Grant"
234,9/30/2016 0:00:00,125,"PITTSBURGH FIREFIGHTER'S",4430,6/30/2015 0:00:00,3000,"Other","office of small C.U. initatives","Program Grant"
242,9/30/2016 0:00:00,129,"GULF COAST COMMUNITY",3524,9/24/2013 0:00:00,1003730,"Community Development Financial Institutions Fund",,"Program Grant"
242,9/30/2016 0:00:00,129,"GULF COAST COMMUNITY",4831,9/10/2015 0:00:00,2000000,"Community Development Financial Institutions Fund",,"Program Grant"
288,9/30/2016 0:00:00,155,"FARGO VA",4420,4/2/2015 0:00:00,3000,"Other","NCUA-OSCUI","Program Grant"
327,9/30/2016 0:00:00,179,"UNION PACIFIC CALIFORNIA EMP",5043,3/1/2016 0:00:00,5000,"Association of Credit Union Leagues",,"Program Grant"
370,9/30/2016 0:00:00,201,"PPG & ASSOCIATES",3427,9/5/2013 0:00:00,2700,"Other","Pa Credit Union Foundation","Program Grant"
389,9/30/2016 0:00:00,214,"CINCINNATI OHIO POLICE",3177,3/1/2013 0:00:00,20000,"Association of Credit Union Leagues",,"Program Grant"
389,9/30/2016 0:00:00,214,"CINCINNATI OHIO POLICE",5177,5/19/2016 0:00:00,1495,"Other","Ohio Credit Union League","Program Grant"
389,9/30/2016 0:00:00,214,"CINCINNATI OHIO POLICE",5178,4/21/2016 0:00:00,1407,"Other","Ohio Credit  Union League","Program Grant"
390,9/30/2016 0:00:00,215,"ELLIOTT COMMUNITY",4318,3/9/2015 0:00:00,10000,"Other","Pennsylvania Credit Union Foundation","Program Grant"
400,9/30/2016 0:00:00,218,"CENTRAL VALLEY",3,10/1/2008 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
400,9/30/2016 0:00:00,218,"CENTRAL VALLEY",4,6/23/2011 0:00:00,2137,"Association of Credit Union Leagues",,"Not Collected"
400,9/30/2016 0:00:00,218,"CENTRAL VALLEY",3981,8/13/2014 0:00:00,5000,"National Credit Union Foundation",,"Program Grant"
404,9/30/2016 0:00:00,222,"GREATER NEW ORLEANS",3152,10/23/2012 0:00:00,490,"Other","LA WORKFORCE COMMISION","Not Collected"
404,9/30/2016 0:00:00,222,"GREATER NEW ORLEANS",3153,9/14/2012 0:00:00,2875,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,9/30/2016 0:00:00,222,"GREATER NEW ORLEANS",3154,7/31/2012 0:00:00,5625,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,9/30/2016 0:00:00,222,"GREATER NEW ORLEANS",3155,7/27/2012 0:00:00,490,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,9/30/2016 0:00:00,222,"GREATER NEW ORLEANS",4368,2/20/2015 0:00:00,600,"Other","LA WORKFORCE COMMISSION","Program Grant"
404,9/30/2016 0:00:00,222,"GREATER NEW ORLEANS",4957,10/5/2015 0:00:00,1375,"Other","Credit Union Leagues","Program Grant"
404,9/30/2016 0:00:00,222,"GREATER NEW ORLEANS",5201,6/30/2016 0:00:00,400,"Other","Credit Union Leagues","Program Grant"
404,9/30/2016 0:00:00,222,"GREATER NEW ORLEANS",5306,7/26/2016 0:00:00,7500,"Other","NCUA","Program Grant"
422,9/30/2016 0:00:00,229,"PITTSBURGH",5,10/1/2008 0:00:00,1500,"NCUA Technical Assistance Program",,"Not Collected"
422,9/30/2016 0:00:00,229,"PITTSBURGH",1730,12/13/2011 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
422,9/30/2016 0:00:00,229,"PITTSBURGH",3068,7/13/2012 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
464,9/30/2016 0:00:00,246,"EAGLE ONE",4225,8/1/2014 0:00:00,2500,"NCUA Technical Assistance Program",,"Program Grant"
464,9/30/2016 0:00:00,246,"EAGLE ONE",5318,9/12/2016 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
475,9/30/2016 0:00:00,253,"INTEGRITY",3397,7/23/2013 0:00:00,5000,"Other","OHIO CREDIT UNION LEAGUE FOUNDATION","Pass Through"
475,9/30/2016 0:00:00,253,"INTEGRITY",4150,10/17/2014 0:00:00,1590,"Other","OHIO CREDIT UNION FOUNDATION","Pass Through"
475,9/30/2016 0:00:00,253,"INTEGRITY",4151,10/14/2014 0:00:00,2500,"Cuna",,"Pass Through"
475,9/30/2016 0:00:00,253,"INTEGRITY",4421,4/3/2015 0:00:00,8336,"Other","OHIO CREDIT UNION FOUNDATION","Program Grant"
