"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
51,9/30/2016 0:00:00,32,"STATE EMPLOYEES",215,"SEFCU"
77,9/30/2016 0:00:00,41,"SERVICE FIRST",416,"CU Marketing Group LLC"
82,9/30/2016 0:00:00,46,"FIRST ATLANTIC",75,"First Atlantic Federal Credit Un"
82,9/30/2016 0:00:00,46,"FIRST ATLANTIC",76,"First Atlantic FCU"
107,9/30/2016 0:00:00,57,"KEMBA ROANOKE",374,"KEMBA Credit Union"
151,9/30/2016 0:00:00,78,"JUSTICE",227,"Justice FCU"
151,9/30/2016 0:00:00,78,"JUSTICE",228,"JFCU"
159,9/30/2016 0:00:00,83,"THREE RIVERS",3,"3Rivers"
196,9/30/2016 0:00:00,105,"GTE",490,"GTE Financial"
227,9/30/2016 0:00:00,121,"PENTAGON",118,"Pentagon Federal Credit Union"
227,9/30/2016 0:00:00,121,"PENTAGON",119,"PenFed"
266,9/30/2016 0:00:00,143,"LIBRARY OF CONGRESS",450,"NAFCU"
340,9/30/2016 0:00:00,183,"JAX",15,"Jax FCU"
383,9/30/2016 0:00:00,211,"ON THE GRID FINANCIAL",66,"CUontheGrid"
434,9/30/2016 0:00:00,234,"EAST OHIO GAS CLEV OPER EMP",386,"N/A"
435,9/30/2016 0:00:00,235,"STATE DEPARTMENT",523,"SDFCU"
609,9/30/2016 0:00:00,309,"ALBANY FIREMENS",499,"Uncle Sam Branch"
624,9/30/2016 0:00:00,321,"UNITED STATES SENATE",225,"USSFCU, US Senate FCU"
665,9/30/2016 0:00:00,342,"PENINSULA COMMUNITY",14,"Peninsula Credit Union"
687,9/30/2016 0:00:00,352,"LARAMIE PLAINS COMMUNITY",398,"Laramie Plains Federal Credit Un"
808,9/30/2016 0:00:00,398,"U.S. EAGLE",364,"The Eagle"
911,9/30/2016 0:00:00,457,"STAR USA",496,"Star Financial Services"
948,9/30/2016 0:00:00,476,"NUSENDA",432,"Nusenda Credit Union"
1040,9/30/2016 0:00:00,524,"CAPITAL EDUCATORS",385,"CapEd"
1115,9/30/2016 0:00:00,556,"COASTLINE",481,"Easy Banking"
1117,9/30/2016 0:00:00,557,"WIDGET",62,"Widget Financial"
1127,9/30/2016 0:00:00,561,"SALEM VA MEDICAL CENTER",59,"Salem VA Credit Union"
1644,9/30/2016 0:00:00,803,"CORNING",223,"Corning Credit Union"
1644,9/30/2016 0:00:00,803,"CORNING",224,"CCU"
1717,9/30/2016 0:00:00,834,"HAWAIIAN TEL",213,"Hawaiian Tel Federal Credit Unio"
1717,9/30/2016 0:00:00,834,"HAWAIIAN TEL",313,"HiTel FCU"
1718,9/30/2016 0:00:00,835,"HAWAII STATE",325,"HSFCU"
1718,9/30/2016 0:00:00,835,"HAWAII STATE",326,"Hawaii State Federal Credit Unio"
1718,9/30/2016 0:00:00,835,"HAWAII STATE",327,"Hawaii State FCU"
1747,9/30/2016 0:00:00,848,"ARIZONA",405,"Arizona Federal"
1830,9/30/2016 0:00:00,878,"HONOLULU",475,"Honolulu Credit Union (HOCU)"
1845,9/30/2016 0:00:00,883,"ALOHA PACIFIC",108,"APFCU"
1845,9/30/2016 0:00:00,883,"ALOHA PACIFIC",109,"ALOHA PACIFIC FEDERAL CREDIT UNI"
1845,9/30/2016 0:00:00,883,"ALOHA PACIFIC",110,"ALOHA PACIFIC FCU"
1976,9/30/2016 0:00:00,943,"CENTRAL FLORIDA EDUCATORS",235,"CFE Federal Credit Union"
2414,9/30/2016 0:00:00,1127,"ROBERTS DAIRY EMPLOYEES",303,"Manufactoring"
2535,9/30/2016 0:00:00,1178,"CANTON SCHOOL EMPLOYEES",355,"CSE FCU"
2585,9/30/2016 0:00:00,1204,"RED CROWN",25,"Red Crown Credit Union"
2744,9/30/2016 0:00:00,1277,"U. S. EMPLOYEES O. C.",256,"USE Federal Credit Union"
2818,9/30/2016 0:00:00,1308,"HOLYOKE COMMUNITY",27,"Holyoke Credit Union"
2876,9/30/2016 0:00:00,1335,"CHICAGO PATROLMEN'S",444,"National Police Credit Union"
2953,9/30/2016 0:00:00,1360,"LANAI",68,"Lanai FCU"
3238,9/30/2016 0:00:00,1479,"DESERT SCHOOLS",203,"DS Live"
3306,9/30/2016 0:00:00,1503,"ST. JOSEPHS PARISH BUFFALO",470,"SJP Federal Credit Union"
3601,9/30/2016 0:00:00,1631,"NATIONAL INSTITUTES OF HEALTH",452,"NIH Federal Credit Union"
3819,9/30/2016 0:00:00,1719,"UPPER DARBY BELLTELCO",469,"UDBell"
4015,9/30/2016 0:00:00,1797,"GENERATIONS COMMUNITY",484,"GFCU"
4015,9/30/2016 0:00:00,1797,"GENERATIONS COMMUNITY",485,"Generations Federal CU"
4015,9/30/2016 0:00:00,1797,"GENERATIONS COMMUNITY",486,"Generations FCU"
4024,9/30/2016 0:00:00,1802,"TRUECORE",417,"TrueCore Federal Credit Union"
4142,9/30/2016 0:00:00,1849,"KINECTA",257,"You're Somebody Special"
4142,9/30/2016 0:00:00,1849,"KINECTA",258,"Stylized ""O"""
4142,9/30/2016 0:00:00,1849,"KINECTA",259,"Protecting What's Essential"
4142,9/30/2016 0:00:00,1849,"KINECTA",260,"Paydaytoday"
4142,9/30/2016 0:00:00,1849,"KINECTA",261,"NIX Financial"
4142,9/30/2016 0:00:00,1849,"KINECTA",262,"NIX Check Cashing"
4142,9/30/2016 0:00:00,1849,"KINECTA",263,"Kinecta Federal Credit Union"
