,artist,song,rating,location
1120,'N Sync,You Don't Have To Be Alone,60,file://localhost/Users/adventure/Music/Compilations/Now%20That's%20What%20I%20Call%20Christmas!%20(Disc%202)/2-16%20You%20Don't%20Have%20To%20Be%20Alone.m4a
0,10 Years,Through the Iris,80,file://localhost/Users/adventure/Music/10%20Years/The%20Autumn%20Effect%20(iTunes%20Version)/16%20Through%20the%20Iris.m4a
2226,2nd Md. &#38; Camp Chase Fife &#38; Drum Corps,Yankee Doodle,60,file://localhost/Users/adventure/Music/Gettysburg/More%20Songs%20and%20Music%20from%20Gettysburg/17%20Yankee%20Doodle.m4p
1,3 Doors Down,Kryptonite,80,file://localhost/Users/adventure/Music/3%20Doors%20Down/The%20Better%20Life/15%20Kryptonite.m4a
8,311,Amber,80,file://localhost/Users/adventure/Music/311/Unknown%20Album/Amber.m4a
4,311,Inner Light Spectrum,60,file://localhost/Users/adventure/Music/311/Transistor/05%20Inner%20Light%20Spectrum.m4a
3,311,Prisoner,80,file://localhost/Users/adventure/Music/311/Transistor/02%20Prisoner.m4a
7,311,Rub A Dub,80,file://localhost/Users/adventure/Music/311/Transistor/17%20Rub%20A%20Dub.m4a
6,311,Running,80,file://localhost/Users/adventure/Music/311/Transistor/12%20Running.m4a
9,311,Stealing Happy Hours,80,file://localhost/Users/adventure/Music/311/Unknown%20Album/Stealing%20Happy%20Hours.m4a
2,311,Transistor,80,file://localhost/Users/adventure/Music/311/Transistor/01%20Transistor.m4a
5,311,Use Of Time,60,file://localhost/Users/adventure/Music/311/Transistor/09%20Use%20Of%20Time.m4a
1057,A Tribe Called Quest,Same Ol' Thing,60,file://localhost/Users/adventure/Music/Compilations/Men%20In%20Black/10%20Same%20Ol'%20Thing.m4a
11,A-Ha,Take on Me,80,file://localhost/Users/adventure/Music/A-Ha/Unknown%20Album/01%20Take%20on%20Me.m4a
13,ABBA,Dancing Queen,80,file://localhost/Users/adventure/Music/Music/ABBA/ABBA%20Gold%20(Greatest%20Hits)/Dancing%20Queen.m4a
12,ABBA,Take A Chance on Me,80,file://localhost/Users/adventure/Music/ABBA/ABBA%20Gold%20(Greatest%20Hits)/03%20Take%20A%20Chance%20on%20Me.m4a
14,AC/DC,Back in Black,80,file://localhost/Users/adventure/Music/AC_DC/Back%20in%20Black/32%20Back%20in%20Black.m4a
18,ADELE,Rolling in the Deep,80,file://localhost/Users/adventure/Music/ADELE/21/01%20Rolling%20in%20the%20Deep.m4a
19,ADELE,Someone Like You,80,file://localhost/Users/adventure/Music/ADELE/21/11%20Someone%20Like%20You.m4a
15,Ace of Base,It's a Beautiful Life,80,file://localhost/Users/adventure/Music/Ace%20of%20Base/Unknown%20Album/32%20It's%20a%20Beautiful%20Life.m4a
17,Adam Sandler,The Chanukah Song,80,file://localhost/Users/adventure/Music/Adam%20Sandler/What%20the%20Hell%20Happened%20to%20Me_/08%20The%20Chanukah%20Song.m4a
16,Adam Sandler,Werewolves of London,80,file://localhost/Users/adventure/Music/Adam%20Sandler/Enjoy%20Every%20Sandwich%20-%20The%20Songs%20of%20Warren%20Zevon/02%20Werewolves%20of%20London.m4a
1175,Adrian Boult: London Symphony Orchestra,"Elgar: Variations On An Original Theme, Op. 36, ""Enigma"" - 10. Nimrod",60,"file://localhost/Users/adventure/Music/Compilations/Pure%20Cinema%20Classics%20%5BDisc%202%5D/2-12%20Elgar_%20Variations%20On%20An%20Original%20Theme,%20Op.%2036,%20_Enigma_%20-%2010.%20Nimrod.m4a"
33,Aerosmith,Amazing,80,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/13%20Amazing.m4a
37,Aerosmith,Angel,80,file://localhost/Users/adventure/Music/Aerosmith/Unknown%20Album/32%20Angel.mp3
31,Aerosmith,Crazy,80,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/11%20Crazy.m4a
29,Aerosmith,Cryin',80,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/09%20Cryin'.m4a
35,Aerosmith,Don't Wanna Miss A Thing,80,file://localhost/Users/adventure/Music/Aerosmith/Unknown%20Album/01%20Don't%20Wanna%20Miss%20A%20Thing.mp3
40,Aerosmith,Dude (Looks Like a Lady),80,file://localhost/Users/adventure/Music/Aerosmith/Young%20Lust_%20The%20Aerosmith%20Anthology/10%20Dude%20(Looks%20Like%20a%20Lady).m4a
22,Aerosmith,Eat The Rich,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/02%20Eat%20The%20Rich.m4a
24,Aerosmith,Fever,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/04%20Fever.m4a
26,Aerosmith,Flesh,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/06%20Flesh.m4a
23,Aerosmith,Get A Grip,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/03%20Get%20A%20Grip.m4a
30,Aerosmith,Gotta Love It,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/10%20Gotta%20Love%20It.m4a
21,Aerosmith,Intro,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/01%20Intro.m4a
36,Aerosmith,Jaded,80,file://localhost/Users/adventure/Music/Aerosmith/Unknown%20Album/01%20Jaded.mp3
41,Aerosmith,Janie's Got a Gun (single version),80,file://localhost/Users/adventure/Music/Aerosmith/Young%20Lust_%20The%20Aerosmith%20Anthology/11%20Janie's%20Got%20a%20Gun%20(single%20version).m4a
38,Aerosmith,Knocking on Heaven's Door,80,file://localhost/Users/adventure/Music/Aerosmith/Unknown%20Album/32%20Knocking%20on%20Heaven's%20Door.mp3
32,Aerosmith,Line Up,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/12%20Line%20Up.m4a
25,Aerosmith,Livin' On The Edge,80,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/05%20Livin'%20On%20The%20Edge.m4a
28,Aerosmith,Shut Up And Dance,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/08%20Shut%20Up%20And%20Dance.m4a
39,Aerosmith,Sweet Emotion,80,file://localhost/Users/adventure/Music/Aerosmith/Unknown%20Album/32%20Sweet%20Emotion.mp3
27,Aerosmith,Walk On Down,60,file://localhost/Users/adventure/Music/Aerosmith/Get%20A%20Grip/07%20Walk%20On%20Down.m4a
20,Aerosmith,Walk This Way,80,file://localhost/Users/adventure/Music/Aerosmith/Dream%20On/03%20Walk%20This%20Way.mp3
34,Aerosmith &#38; Tom Keenlyside,Love in an Elevator,80,file://localhost/Users/adventure/Music/Aerosmith/Gold/12%20Love%20in%20an%20Elevator.m4a
44,Al Di Meola,Gigi's Playtime Rhyme (Interlude #1),60,file://localhost/Users/adventure/Music/Al%20Di%20Meola/Kiss%20My%20Axe/05%20Gigi's%20Playtime%20Rhyme%20(Interlude%20%231).m4a
46,Al Di Meola,Global Safari,80,file://localhost/Users/adventure/Music/Al%20Di%20Meola/Kiss%20My%20Axe/09%20Global%20Safari.m4a
43,Al Di Meola,Kiss My Axe,80,file://localhost/Users/adventure/Music/Al%20Di%20Meola/Kiss%20My%20Axe/03%20Kiss%20My%20Axe.m4a
48,Al Di Meola,"Oriana (September 24, 1988)",60,"file://localhost/Users/adventure/Music/Al%20Di%20Meola/Kiss%20My%20Axe/13%20Oriana%20(September%2024,%201988).m4a"
45,Al Di Meola,Phantom,80,file://localhost/Users/adventure/Music/Al%20Di%20Meola/Kiss%20My%20Axe/07%20Phantom.m4a
47,Al Di Meola,Purple Orchids,80,file://localhost/Users/adventure/Music/Al%20Di%20Meola/Kiss%20My%20Axe/11%20Purple%20Orchids.m4a
42,Al Di Meola,South Bound Traveler,80,file://localhost/Users/adventure/Music/Al%20Di%20Meola/Kiss%20My%20Axe/01%20South%20Bound%20Traveler.m4a
1433,Al Green,Give It Everything,60,file://localhost/Users/adventure/Music/Compilations/The%20Truth%20About%20Cats%20&#38;%20Dogs%20(Soundtrack)/06%20Give%20It%20Everything.m4a
1151,Al Green,Let's Stay Together,60,file://localhost/Users/adventure/Music/Compilations/Pulp%20Fiction/04%20Let's%20Stay%20Together.m4a
1539,Al Stewart,Ghostly Horses of the Plain,60,file://localhost/Users/adventure/Music/Compilations/Wave%20Aid%20II/2-11%20Ghostly%20Horses%20of%20the%20Plain.m4a
