country_name,gold,silver,bronze,points
Russian Fed.,13,11,9,83
Norway,11,5,10,64
Canada,10,10,5,65
United States,9,7,12,62
Netherlands,8,7,9,55
Germany,8,6,5,49
Switzerland,6,3,2,32
Belarus,5,0,1,21
Austria,4,8,5,37
France,4,4,7,31
Poland,4,1,1,19
China,3,4,2,22
Korea,3,3,2,20
Sweden,2,7,6,28
Czech Republic,2,4,2,18
Slovenia,2,2,4,16
Japan,1,4,3,15
Finland,1,3,1,11
Great Britain,1,1,2,8
Ukraine,1,0,1,5
Slovakia,1,0,0,4
Italy,0,2,6,10
Latvia,0,2,2,6
Australia,0,2,1,5
Croatia,0,1,0,2
Kazakhstan,0,0,1,1
